Jahresliste der Sonnenauf- und -untergänge
Längengrad:	14 °E
Breitengrad:	46 °N
Zeitzone:	GMT + 1 h
Alle Berechnungen erfolgen in der vordefinierten Zeitzone.
Umstellungen von Sommer- auf Winterzeit werden nicht berücksichtigt!

Datum	Sonnenaufgang	Sonnenuntergang
5.3.2013 	06:37:18	17:54:24
6.3.2013 	06:35:27	17:55:48
7.3.2013 	06:33:34	17:57:10
8.3.2013 	06:31:43	17:58:34
9.3.2013 	06:29:49	17:59:56
10.3.2013 	06:27:56	18:01:20
11.3.2013 	06:26:04	18:02:41
12.3.2013 	06:24:09	18:04:03
13.3.2013 	06:22:15	18:05:26
14.3.2013 	06:20:21	18:06:48
15.3.2013 	06:18:25	18:08:08
16.3.2013 	06:16:31	18:09:30
17.3.2013 	06:14:35	18:10:52
18.3.2013 	06:12:39	18:12:12
19.3.2013 	06:10:44	18:13:33
20.3.2013 	06:08:49	18:14:53
21.3.2013 	06:06:52	18:16:14
22.3.2013 	06:04:56	18:17:35
23.3.2013 	06:03:00	18:18:54
24.3.2013 	06:01:04	18:20:14
25.3.2013 	05:59:08	18:21:35
26.3.2013 	05:57:12	18:22:54
27.3.2013 	05:55:17	18:24:14
28.3.2013 	05:53:21	18:25:34
29.3.2013 	05:51:25	18:26:53
30.3.2013 	05:49:30	18:28:13
31.3.2013 	05:47:34	18:29:31
1.4.2013 	05:45:40	18:30:51
2.4.2013 	05:43:46	18:32:10
3.4.2013 	05:41:51	18:33:30
4.4.2013 	05:39:57	18:34:48
5.4.2013 	05:38:04	18:36:08
6.4.2013 	05:36:10	18:37:27
7.4.2013 	05:34:18	18:38:46
8.4.2013 	05:32:25	18:40:05
9.4.2013 	05:30:34	18:41:23
10.4.2013 	05:28:42	18:42:43
11.4.2013 	05:26:52	18:44:02
12.4.2013 	05:25:02	18:45:21
13.4.2013 	05:23:12	18:46:40
14.4.2013 	05:21:23	18:48:00
15.4.2013 	05:19:36	18:49:18
16.4.2013 	05:17:48	18:50:36
17.4.2013 	05:16:02	18:51:56
18.4.2013 	05:14:16	18:53:14
19.4.2013 	05:12:31	18:54:33
20.4.2013 	05:10:47	18:55:52
21.4.2013 	05:09:03	18:57:11
22.4.2013 	05:07:20	18:58:29
23.4.2013 	05:05:40	18:59:48
24.4.2013 	05:04:00	19:01:06
25.4.2013 	05:02:20	19:02:24
26.4.2013 	05:00:41	19:03:42
27.4.2013 	04:59:05	19:05:02
28.4.2013 	04:57:29	19:06:20
29.4.2013 	04:55:53	19:07:36
30.4.2013 	04:54:20	19:08:54
1.5.2013 	04:52:48	19:10:11
2.5.2013 	04:51:17	19:11:29
3.5.2013 	04:49:48	19:12:46
4.5.2013 	04:48:19	19:14:02
5.5.2013 	04:46:52	19:15:19
6.5.2013 	04:45:26	19:16:34
7.5.2013 	04:44:02	19:17:51
8.5.2013 	04:42:40	19:19:06
9.5.2013 	04:41:19	19:20:20
10.5.2013 	04:40:00	19:21:35
11.5.2013 	04:38:42	19:22:48
12.5.2013 	04:37:25	19:24:01
13.5.2013 	04:36:11	19:25:14
14.5.2013 	04:34:58	19:26:26
15.5.2013 	04:33:48	19:27:37
16.5.2013 	04:32:38	19:28:48
17.5.2013 	04:31:32	19:29:58
18.5.2013 	04:30:26	19:31:06
19.5.2013 	04:29:23	19:32:15
20.5.2013 	04:28:22	19:33:23
21.5.2013 	04:27:23	19:34:28
22.5.2013 	04:26:25	19:35:33
23.5.2013 	04:25:30	19:36:38
24.5.2013 	04:24:37	19:37:42
25.5.2013 	04:23:45	19:38:43
26.5.2013 	04:22:56	19:39:44
27.5.2013 	04:22:08	19:40:44
28.5.2013 	04:21:25	19:41:43
29.5.2013 	04:20:41	19:42:40
30.5.2013 	04:20:02	19:43:36
31.5.2013 	04:19:24	19:44:29
1.6.2013 	04:18:49	19:45:21
2.6.2013 	04:18:15	19:46:14
3.6.2013 	04:17:43	19:47:02
4.6.2013 	04:17:16	19:47:51
5.6.2013 	04:16:48	19:48:36
6.6.2013 	04:16:24	19:49:21
7.6.2013 	04:16:04	19:50:03
8.6.2013 	04:15:45	19:50:45
9.6.2013 	04:15:27	19:51:22
10.6.2013 	04:15:13	19:52:00
11.6.2013 	04:15:01	19:52:35
12.6.2013 	04:14:52	19:53:07
13.6.2013 	04:14:44	19:53:38
14.6.2013 	04:14:40	19:54:06
15.6.2013 	04:14:39	19:54:32
16.6.2013 	04:14:39	19:54:57
17.6.2013 	04:14:40	19:55:19
18.6.2013 	04:14:44	19:55:40
19.6.2013 	04:14:52	19:55:56
20.6.2013 	04:15:01	19:56:11
21.6.2013 	04:15:13	19:56:25
22.6.2013 	04:15:27	19:56:36
23.6.2013 	04:15:43	19:56:43
24.6.2013 	04:16:03	19:56:49
25.6.2013 	04:16:22	19:56:53
26.6.2013 	04:16:46	19:56:53
27.6.2013 	04:17:12	19:56:53
28.6.2013 	04:17:37	19:56:47
29.6.2013 	04:18:07	19:56:41
30.6.2013 	04:18:39	19:56:32
1.7.2013 	04:19:10	19:56:21
2.7.2013 	04:19:46	19:56:08
3.7.2013 	04:20:24	19:55:51
4.7.2013 	04:21:03	19:55:32
5.7.2013 	04:21:43	19:55:12
6.7.2013 	04:22:26	19:54:47
7.7.2013 	04:23:10	19:54:23
8.7.2013 	04:23:55	19:53:53
9.7.2013 	04:24:43	19:53:23
10.7.2013 	04:25:32	19:52:50
11.7.2013 	04:26:21	19:52:14
12.7.2013 	04:27:13	19:51:37
13.7.2013 	04:28:06	19:50:58
14.7.2013 	04:29:02	19:50:15
15.7.2013 	04:29:57	19:49:30
16.7.2013 	04:30:54	19:48:43
17.7.2013 	04:31:53	19:47:55
18.7.2013 	04:32:52	19:47:04
19.7.2013 	04:33:53	19:46:10
20.7.2013 	04:34:54	19:45:14
21.7.2013 	04:35:57	19:44:17
22.7.2013 	04:37:00	19:43:18
23.7.2013 	04:38:04	19:42:17
24.7.2013 	04:39:10	19:41:13
25.7.2013 	04:40:16	19:40:06
26.7.2013 	04:41:22	19:38:59
27.7.2013 	04:42:30	19:37:50
28.7.2013 	04:43:38	19:36:38
29.7.2013 	04:44:47	19:35:25
30.7.2013 	04:45:57	19:34:12
31.7.2013 	04:47:06	19:32:55
1.8.2013 	04:48:16	19:31:38
2.8.2013 	04:49:28	19:30:17
3.8.2013 	04:50:39	19:28:55
4.8.2013 	04:51:51	19:27:33
5.8.2013 	04:53:02	19:26:08
6.8.2013 	04:54:14	19:24:43
7.8.2013 	04:55:28	19:23:15
8.8.2013 	04:56:41	19:21:47
9.8.2013 	04:57:54	19:20:16
10.8.2013 	04:59:07	19:18:44
11.8.2013 	05:00:20	19:17:11
12.8.2013 	05:01:34	19:15:37
13.8.2013 	05:02:48	19:14:02
14.8.2013 	05:04:03	19:12:25
15.8.2013 	05:05:17	19:10:47
16.8.2013 	05:06:31	19:09:08
17.8.2013 	05:07:46	19:07:28
18.8.2013 	05:09:00	19:05:47
19.8.2013 	05:10:14	19:04:04
20.8.2013 	05:11:29	19:02:21
21.8.2013 	05:12:43	19:00:38
22.8.2013 	05:13:58	18:58:52
23.8.2013 	05:15:12	18:57:06
24.8.2013 	05:16:27	18:55:20
25.8.2013 	05:17:42	18:53:32
26.8.2013 	05:18:57	18:51:43
27.8.2013 	05:20:11	18:49:55
28.8.2013 	05:21:26	18:48:05
29.8.2013 	05:22:41	18:46:14
30.8.2013 	05:23:54	18:44:23
31.8.2013 	05:25:09	18:42:31
1.9.2013 	05:26:24	18:40:39
2.9.2013 	05:27:38	18:38:45
3.9.2013 	05:28:53	18:36:53
4.9.2013 	05:30:07	18:34:58
5.9.2013 	05:31:22	18:33:03
6.9.2013 	05:32:36	18:31:08
7.9.2013 	05:33:51	18:29:13
8.9.2013 	05:35:06	18:27:17
9.9.2013 	05:36:20	18:25:22
10.9.2013 	05:37:35	18:23:26
11.9.2013 	05:38:49	18:21:29
12.9.2013 	05:40:04	18:19:32
13.9.2013 	05:41:18	18:17:35
14.9.2013 	05:42:33	18:15:37
15.9.2013 	05:43:49	18:13:41
16.9.2013 	05:45:03	18:11:42
17.9.2013 	05:46:18	18:09:45
18.9.2013 	05:47:33	18:07:47
19.9.2013 	05:48:48	18:05:50
20.9.2013 	05:50:03	18:03:51
21.9.2013 	05:51:19	18:01:54
22.9.2013 	05:52:35	17:59:56
23.9.2013 	05:53:50	17:57:58
24.9.2013 	05:55:07	17:56:01
25.9.2013 	05:56:22	17:54:03
26.9.2013 	05:57:38	17:52:06
27.9.2013 	05:58:55	17:50:10
28.9.2013 	06:00:11	17:48:13
29.9.2013 	06:01:28	17:46:16
30.9.2013 	06:02:45	17:44:19
1.10.2013 	06:04:03	17:42:23
2.10.2013 	06:05:20	17:40:28
3.10.2013 	06:06:38	17:38:33
4.10.2013 	06:07:56	17:36:38
5.10.2013 	06:09:15	17:34:44
6.10.2013 	06:10:33	17:32:51
7.10.2013 	06:11:51	17:30:56
8.10.2013 	06:13:11	17:29:05
9.10.2013 	06:14:30	17:27:12
10.10.2013 	06:15:49	17:25:21
11.10.2013 	06:17:09	17:23:29
12.10.2013 	06:18:31	17:21:40
13.10.2013 	06:19:51	17:19:50
14.10.2013 	06:21:12	17:18:00
15.10.2013 	06:22:34	17:16:13
16.10.2013 	06:23:55	17:14:25
17.10.2013 	06:25:16	17:12:39
18.10.2013 	06:26:39	17:10:54
19.10.2013 	06:28:02	17:09:10
20.10.2013 	06:29:25	17:07:25
21.10.2013 	06:30:48	17:05:44
22.10.2013 	06:32:11	17:04:02
23.10.2013 	06:33:36	17:02:22
24.10.2013 	06:34:59	17:00:42
25.10.2013 	06:36:23	16:59:04
26.10.2013 	06:37:48	16:57:28
27.10.2013 	06:39:12	16:55:51
28.10.2013 	06:40:38	16:54:17
29.10.2013 	06:42:03	16:52:44
30.10.2013 	06:43:29	16:51:12
31.10.2013 	06:44:55	16:49:43
1.11.2013 	06:46:19	16:48:14
2.11.2013 	06:47:46	16:46:46
3.11.2013 	06:49:12	16:45:20
4.11.2013 	06:50:38	16:43:55
5.11.2013 	06:52:04	16:42:32
6.11.2013 	06:53:30	16:41:12
7.11.2013 	06:54:56	16:39:52
8.11.2013 	06:56:22	16:38:35
9.11.2013 	06:57:48	16:37:19
10.11.2013 	06:59:15	16:36:05
11.11.2013 	07:00:41	16:34:53
12.11.2013 	07:02:05	16:33:43
13.11.2013 	07:03:31	16:32:34
14.11.2013 	07:04:55	16:31:28
15.11.2013 	07:06:20	16:30:24
16.11.2013 	07:07:44	16:29:23
17.11.2013 	07:09:09	16:28:21
18.11.2013 	07:10:32	16:27:23
19.11.2013 	07:11:54	16:26:29
20.11.2013 	07:13:17	16:25:34
21.11.2013 	07:14:38	16:24:45
22.11.2013 	07:15:59	16:23:56
23.11.2013 	07:17:19	16:23:10
24.11.2013 	07:18:39	16:22:25
25.11.2013 	07:19:56	16:21:44
26.11.2013 	07:21:13	16:21:05
27.11.2013 	07:22:29	16:20:28
28.11.2013 	07:23:45	16:19:54
29.11.2013 	07:25:00	16:19:23
30.11.2013 	07:26:12	16:18:54
1.12.2013 	07:27:24	16:18:29
2.12.2013 	07:28:33	16:18:05
3.12.2013 	07:29:43	16:17:44
4.12.2013 	07:30:49	16:17:26
5.12.2013 	07:31:54	16:17:10
6.12.2013 	07:32:59	16:16:57
7.12.2013 	07:34:02	16:16:48
8.12.2013 	07:35:01	16:16:40
9.12.2013 	07:36:01	16:16:36
10.12.2013 	07:36:57	16:16:35
11.12.2013 	07:37:52	16:16:36
12.12.2013 	07:38:45	16:16:40
13.12.2013 	07:39:36	16:16:46
14.12.2013 	07:40:23	16:16:55
15.12.2013 	07:41:11	16:17:07
16.12.2013 	07:41:54	16:17:22
17.12.2013 	07:42:36	16:17:41
18.12.2013 	07:43:15	16:18:01
19.12.2013 	07:43:53	16:18:23
20.12.2013 	07:44:27	16:18:49
21.12.2013 	07:45:00	16:19:18
22.12.2013 	07:45:29	16:19:49
23.12.2013 	07:45:57	16:20:23
24.12.2013 	07:46:22	16:20:58
25.12.2013 	07:46:43	16:21:38
26.12.2013 	07:47:02	16:22:18
27.12.2013 	07:47:20	16:23:01
28.12.2013 	07:47:34	16:23:47
29.12.2013 	07:47:44	16:24:35
30.12.2013 	07:47:53	16:25:26
31.12.2013 	07:47:58	16:26:17

©2003 by Volker Quaschning
http://www.volker-quaschning.de/datserv/sunpos/index.php
